t,gamma,trott1_mean,trott1_sem,n_trott1,trott2_mean,trott2_sem,n_trott2,ratio_trott1_over_trott2
3.0,0.5,0.026061839433037554,0.004988377400205163,300,0.017115908729040806,0.004364775984019803,300,1.5226675863734924
4.0,0.0,1.0036810494871429,0.003260433310503681,300,0.8679034401338473,0.008004968231419322,300,1.1564432206102975
4.0,0.02,0.6488841117065621,0.008412281890937652,300,0.5744917642636159,0.010779851316138737,300,1.1294924524084387
4.0,0.04,0.45598901315484414,0.012137107056711803,300,0.37890362910356784,0.010506275770853018,300,1.2034432455388442
4.0,0.06,0.3211176333662317,0.013228167901768053,300,0.26837043311066466,0.011546159952080854,300,1.1965462426101774
4.0,0.08,0.2479952163961376,0.012782954430816043,300,0.19060947451989782,0.010805888259659922,300,1.3010644776225395
4.0,0.1,0.17651755563108715,0.011379987898964276,300,0.15754346948758077,0.011517127970306977,300,1.120437147951741
4.0,0.2,0.07390861256170296,0.008832264801167335,300,0.07418676164367162,0.008478456526065496,300,0.9962506911501995
4.0,0.3,0.046522996900120704,0.007226127997619489,300,0.03933745339699554,0.0069463061687351085,300,1.1826641758074246
4.0,0.4,0.033406827838310345,0.00638176010195827,300,0.02304920985353196,0.004725279975617378,300,1.449369763675054
4.0,0.5,0.024934395858249848,0.004231549327904525,300,0.02377193528592976,0.0054415911436364265,300,1.0489005442063495
5.0,0.0,1.0083612718634338,0.003183678277467292,300,0.9627660697396841,0.01085009922807171,300,1.0473585469584297
5.0,0.02,0.6237764973347917,0.011108118165808171,300,0.5965889342083883,0.010677823473010474,300,1.0455716852383097
5.0,0.04,0.4164655859847946,0.013213737075966863,300,0.39340738989987545,0.013254092299883368,300,1.0586114970814036
5.0,0.06,0.29147263116657296,0.013947242252131835,300,0.2864617227886067,0.012923454825005627,300,1.0174924186351557
5.0,0.08,0.22803701174777927,0.013920425336408195,300,0.1941795600216126,0.012428958926151057,300,1.1743615637114342
5.0,0.1,0.19733443957881738,0.013891524713706253,300,0.15138669772524357,0.011503415210752954,300,1.303512412543444
5.0,0.2,0.07571685727023231,0.009697576483982711,300,0.06758731301760294,0.008893300437268171,300,1.12028210457948
5.0,0.3,0.04943999308025259,0.00824871945190726,300,0.030895021559816556,0.005617775927347912,300,1.6002576008736777
5.0,0.4,0.038940562652293065,0.007219492977973119,300,0.03183964354359371,0.006014621696298649,300,1.2230213130048715
5.0,0.5,0.03021627750898464,0.005949920279938614,300,0.026375256182201802,0.006033710711396469,300,1.145629725840342
6.0,0.0,0.808852836061734,0.009085105044898343,300,0.5273389666337228,0.01276386638268744,300,1.5338385502309069
6.0,0.02,0.45148527716219605,0.011954669502277658,300,0.30413998060323505,0.012927947592669839,300,1.4844653973697062
6.0,0.04,0.26869771480919913,0.012490988728353771,300,0.17255611180880084,0.011111426788085303,300,1.5571613893741827
6.0,0.06,0.16670745779841592,0.01135658962556528,300,0.11074027005363524,0.009536428249148724,300,1.5053914688638008
6.0,0.08,0.13802393441013952,0.011687806833329848,300,0.07335411826056944,0.007795809367320061,300,1.8816112535065739
6.0,0.1,0.11220784748620434,0.010831961956046332,300,0.07135923106038336,0.009311208032370243,300,1.5724363312050735
6.0,0.2,0.04346070258832109,0.0065160679147373245,300,0.03233959871888815,0.006122818837983178,300,1.3438850298082885
6.0,0.3,0.02781498396701617,0.0053119651134813685,300,0.012932777773467524,0.0030755635587860607,300,2.1507354764945013
6.0,0.4,0.015660347649533193,0.0035211637012480842,300,0.007632517557905976,0.0022314093480121882,300,2.0517932033201505
6.0,0.5,0.010875706189310724,0.0029852995929752955,300,0.00809942726401529,0.0023431789555109347,300,1.3427747215695218
