t,gamma,pqc_mean,pqc_sem,n_pqc,pqc_min_train,trott1_mean,trott1_sem,n_trott1,trott2_mean,trott2_sem,n_trott2,ratio_trott1_over_pqc,ratio_trott2_over_pqc
0.2,0.0,0.04017299918184655,0.0008033385554783543,200,0.01246994951510501,0.13133367394626594,0.0017077523348991304,300,0.0059253700289018845,5.9083996357397605e-05,300,3.2692026142178907,0.14749633210306717
0.2,0.02,0.042811472678208166,0.0008833969205503795,200,0.0142515685262285,0.1267876731419895,0.0014807941069550426,300,0.0018226540609274622,9.003069984134032e-05,300,2.9615349627186913,0.042573963167009364
0.2,0.04,0.052437441250467856,0.0008906739321038589,200,0.014314037088052855,0.12275558544821782,0.001556349167318996,300,0.0011557498225987003,0.00010329572114959164,300,2.3409911414608273,0.022040545744370935
0.2,0.06,0.051017200162609855,0.0008649517885206139,200,0.014960483070239965,0.11545978550871216,0.0015252568419671993,300,0.001181074414547419,0.00015991595104515097,300,2.2631540958872893,0.023150514155675286
0.2,0.08,0.05312188756531439,0.0008178933866456637,200,0.015525838617519867,0.11812039179447988,0.0013263658314159163,300,0.001019660725793552,0.00016809918979907227,300,2.2235729415534897,0.01919473822423684
0.2,0.1,0.04658713069201579,0.0008172762976904414,200,0.015230098865395399,0.1149796316889825,0.0013463530670821094,300,0.0008300857636736508,0.00017446495150286976,300,2.468055662176421,0.017817919913576324
0.2,0.2,0.053769243835179364,0.002863496797285272,30,0.013766410093970772,0.10377098320331936,0.001031595737877838,300,0.0006907979272198056,0.0002427365762132484,300,1.929931979728262,0.012847454751964364
0.2,0.3,0.04130706218807344,0.0013791786200558424,30,0.014705431941677217,0.09365829730485134,0.0009252560663225245,300,0.0014186901740137004,0.0005763999548327231,300,2.267367668957422,0.034344978772741626
0.2,0.4,0.03604542314665261,0.001302494774960895,30,0.013236617331477438,0.08547675297509852,0.000865872807066503,300,0.001421239077049944,0.0006167448965882279,300,2.3713621734257933,0.03942911340692442
0.2,0.5,0.03016417188637672,0.001113716297742992,30,0.013668887619599114,0.07635347824992773,0.0008484846338432845,300,0.0014551302768278126,0.0005919624901503126,300,2.5312638628880064,0.04824035224003628
0.4,0.0,0.04281021879635306,0.0006460495763951689,200,0.015588120081887018,0.4030218922885533,0.004182846716702876,300,0.03881316038211109,0.0004841940773454513,300,9.414151658642917,0.9066330767133928
0.4,0.02,0.06123771547099432,0.001000332659540721,200,0.01826334469163088,0.3851986635042469,0.003843076674915493,300,0.0033391734159871215,0.0002551981001959085,300,6.290219361411335,0.05452805334596038
0.4,0.04,0.05737142792789351,0.0009809000958449837,200,0.01882106494837167,0.36422572849666807,0.0038823238419044385,300,0.0017382273877523107,0.0002650719591125781,300,6.348556095805044,0.030297788472983065
0.4,0.06,0.08772835767348681,0.004993876653208418,30,0.018728927680640987,0.34351680722787636,0.0035566158304604226,300,0.0013075607515428266,0.0003046017150222227,300,3.9156872001001073,0.014904653252593561
0.4,0.08,0.0693424286346752,0.003080616934476154,30,0.01814172383628474,0.3381232923136263,0.00270161442668885,300,0.0012001060006286953,0.00030705139648576373,300,4.876138591784846,0.017306950798498186
0.4,0.1,0.054697212312815144,0.0029868854859078885,30,0.018279839086361074,0.32312283998820157,0.0024011674200688452,300,0.0023201311125387305,0.0007028872120402999,300,5.907482782490843,0.042417721387149034
0.4,0.2,0.04560046813093096,0.0017032538445842954,30,0.017608125034593653,0.26273702840603225,0.002006541209202847,300,0.001067565848816607,0.000654060051306333,300,5.761717788765787,0.023411291431292856
0.4,0.3,0.045264881968430974,0.0018823383335237248,30,0.017269269177661917,0.21396508119152094,0.002232411081062671,300,0.00672134952494902,0.0022201315491606217,300,4.726955464961696,0.1484892754086199
